Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,CQI,LTERSSI,ARFCN,DL+AF8-bitrate,UL+AF8-bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test+AF8-Status,DataConnection+AF8-Type,DataConnection+AF8-Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION+AF8-NAME,VERSION+AF8-CODE,DEVICE,BAND,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,geometry
2019+AC0-12+AC0-10 12:02:04,+AC0-76.49146,44.232087,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-90,+AC0-12,3,+AC0-,+AC0-66,66811,2,1,111,62,62,3,G,D,,,,,,,,,,PING,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,LOG START,,,,12,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-79,+AC0-11,,,4G,,,,9.0,5145.0,+AC0-84,+AC0-16,,,4G,,,,17.0,5145.0,+AC0-87,+AC0-20,,,4G,,,,54.0,900.0,+AC0-90,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-94,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-95,+AC0-16,,,4G,,,,17.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,900.0,+AC0-98,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-100,+AC0-20,,,4G,,,,389.0,900.0,+AC0-103,+AC0-20,,,4G,,,,472.0,900.0,+AC0-106,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232087)
2019+AC0-12+AC0-10 12:02:05,+AC0-76.49146,44.232087,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-90,+AC0-12,5.2,+AC0-,+AC0-68,66811,2,1,111,62,62,3,G,D,327.0,327.0,327.0,0.0,0.0,,,,,PING,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,PING TEST,,,,12,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-79,+AC0-11,,,4G,,,,9.0,5145.0,+AC0-84,+AC0-16,,,4G,,,,17.0,5145.0,+AC0-87,+AC0-20,,,4G,,,,54.0,900.0,+AC0-90,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-94,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-95,+AC0-16,,,4G,,,,17.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,900.0,+AC0-98,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-100,+AC0-20,,,4G,,,,389.0,900.0,+AC0-103,+AC0-20,,,4G,,,,472.0,900.0,+AC0-106,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232087)
2019+AC0-12+AC0-10 12:02:05,+AC0-76.49146,44.232082,1,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-90,+AC0-12,5.2,+AC0-,+AC0-68,66811,2,1,111,63,63,3,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,12,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-79,+AC0-11,,,4G,,,,9.0,5145.0,+AC0-84,+AC0-16,,,4G,,,,17.0,5145.0,+AC0-87,+AC0-20,,,4G,,,,54.0,900.0,+AC0-90,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-94,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-95,+AC0-16,,,4G,,,,17.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,900.0,+AC0-98,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-100,+AC0-20,,,4G,,,,389.0,900.0,+AC0-103,+AC0-20,,,4G,,,,472.0,900.0,+AC0-106,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232082)
2019+AC0-12+AC0-10 12:02:06,+AC0-76.49146,44.232078,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-93,+AC0-11,5.2,+AC0-,+AC0-68,66811,33,334,111,63,63,3,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,13,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,9.0,5145.0,+AC0-82,+AC0-11,,,4G,,,,54.0,5145.0,+AC0-86,+AC0-13,,,4G,,,,17.0,5145.0,+AC0-90,+AC0-18,,,4G,,,,54.0,900.0,+AC0-90,+AC0-11,,,4G,,,,77.0,66811.0,+AC0-94,+AC0-16,,,4G,,,,9.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-97,+AC0-20,,,4G,,,,498.0,66811.0,+AC0-98,+AC0-19,,,4G,,,,17.0,900.0,+AC0-100,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-103,+AC0-20,,,4G,,,,389.0,900.0,+AC0-104,+AC0-20,,,4G,,,,472.0,900.0,+AC0-104,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232078)
2019+AC0-12+AC0-10 12:02:07,+AC0-76.49146,44.232075,1,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-93,+AC0-11,5.2,+AC0-,+AC0-68,66811,1190,7671,111,62,62,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,14,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,9.0,5145.0,+AC0-82,+AC0-11,,,4G,,,,54.0,5145.0,+AC0-86,+AC0-13,,,4G,,,,17.0,5145.0,+AC0-90,+AC0-18,,,4G,,,,54.0,900.0,+AC0-90,+AC0-11,,,4G,,,,77.0,66811.0,+AC0-94,+AC0-16,,,4G,,,,9.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-97,+AC0-20,,,4G,,,,498.0,66811.0,+AC0-98,+AC0-19,,,4G,,,,17.0,900.0,+AC0-100,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-103,+AC0-20,,,4G,,,,389.0,900.0,+AC0-104,+AC0-20,,,4G,,,,472.0,900.0,+AC0-104,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232075)
2019+AC0-12+AC0-10 12:02:08,+AC0-76.49146,44.23207,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-97,+AC0-16,4.2,+AC0-,+AC0-66,66811,37043,94,111,63,63,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,15,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-82,+AC0-13,,,4G,,,,9.0,5145.0,+AC0-87,+AC0-13,,,4G,,,,17.0,5145.0,+AC0-91,+AC0-18,,,4G,,,,54.0,900.0,+AC0-94,+AC0-17,,,4G,,,,9.0,66811.0,+AC0-97,+AC0-15,,,4G,,,,77.0,66811.0,+AC0-97,+AC0-16,,,4G,,,,9.0,900.0,+AC0-98,+AC0-16,,,4G,,,,17.0,900.0,+AC0-100,+AC0-17,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-19,,,4G,,,,498.0,66811.0,+AC0-102,+AC0-19,,,4G,,,,389.0,900.0,+AC0-103,+AC0-20,,,4G,,,,472.0,900.0,+AC0-103,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-106,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.23207)
2019+AC0-12+AC0-10 12:02:09,+AC0-76.49146,44.232068,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-97,+AC0-16,4.2,+AC0-,+AC0-66,66811,41470,6073,111,62,62,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,16,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-82,+AC0-13,,,4G,,,,9.0,5145.0,+AC0-87,+AC0-13,,,4G,,,,17.0,5145.0,+AC0-91,+AC0-18,,,4G,,,,54.0,900.0,+AC0-94,+AC0-17,,,4G,,,,9.0,66811.0,+AC0-97,+AC0-15,,,4G,,,,77.0,66811.0,+AC0-97,+AC0-16,,,4G,,,,9.0,900.0,+AC0-98,+AC0-16,,,4G,,,,17.0,900.0,+AC0-100,+AC0-17,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-19,,,4G,,,,498.0,66811.0,+AC0-102,+AC0-19,,,4G,,,,389.0,900.0,+AC0-103,+AC0-20,,,4G,,,,472.0,900.0,+AC0-103,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-106,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232068)
2019+AC0-12+AC0-10 12:02:10,+AC0-76.49146,44.232068,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-93,+AC0-14,2.6,+AC0-,+AC0-70,66811,35396,2021,111,62,62,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,17,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-82,+AC0-14,,,4G,,,,9.0,5145.0,+AC0-83,+AC0-15,,,4G,,,,77.0,66811.0,+AC0-98,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,197.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,54.0,900.0,+AC0-102,+AC0-17,,,4G,,,,9.0,900.0,+AC0-106,+AC0-19,,,4G,,,,389.0,900.0,+AC0-106,+AC0-20,,,4G,,,,17.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232068)
2019+AC0-12+AC0-10 12:02:11,+AC0-76.49146,44.232068,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-93,+AC0-14,3.6,+AC0-,+AC0-69,66811,35396,2021,111,62,62,3,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,UPLOAD ERROR,,,,17,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-82,+AC0-14,,,4G,,,,9.0,5145.0,+AC0-83,+AC0-15,,,4G,,,,77.0,66811.0,+AC0-98,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,197.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,54.0,900.0,+AC0-102,+AC0-17,,,4G,,,,9.0,900.0,+AC0-106,+AC0-19,,,4G,,,,389.0,900.0,+AC0-106,+AC0-20,,,4G,,,,17.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232068)
2019+AC0-12+AC0-10 12:02:11,+AC0-76.49146,44.232068,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-93,+AC0-14,3.6,+AC0-,+AC0-69,66811,49625,1351,111,62,62,3,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.122.132.12,2.0,,,,,18,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-82,+AC0-14,,,4G,,,,9.0,5145.0,+AC0-83,+AC0-15,,,4G,,,,77.0,66811.0,+AC0-98,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,197.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-20,,,4G,,,,54.0,900.0,+AC0-102,+AC0-17,,,4G,,,,9.0,900.0,+AC0-106,+AC0-19,,,4G,,,,389.0,900.0,+AC0-106,+AC0-20,,,4G,,,,17.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232068)
